data,valor_mensal,dia,mes,ano,dia_semana,nome_dia_semana,bimestre,trimestre,semestre,variacao_mensal,p_variacao_mensal,valor_anual,variacao_anual,p_variacao_anual
2000-05-01,66.14,1,5,2000,0,Segunda-feira,3,2,1,0.4000000000000057,0.006084575600851849,796.27,23.889999999999986,32.33068229384681
2000-06-01,65.79,1,6,2000,3,Quinta-feira,3,2,1,-0.3499999999999943,-0.005291805261566251,796.27,23.889999999999986,32.33068229384681
2000-07-01,66.5,1,7,2000,5,Sábado,4,3,2,0.7099999999999937,0.010791913664690567,796.27,23.889999999999986,32.33068229384681
2000-08-01,67.04,1,8,2000,1,Terça-feira,4,3,2,0.5400000000000063,0.00812030075187975,796.27,23.889999999999986,32.33068229384681
2000-09-01,66.98,1,9,2000,4,Sexta-feira,5,3,2,-0.060000000000002274,-0.0008949880668258636,796.27,23.889999999999986,32.33068229384681
2000-10-01,67.74,1,10,2000,6,Domingo,5,4,2,0.7599999999999909,0.011346670647954582,796.27,23.889999999999986,32.33068229384681
2000-11-01,68.59,1,11,2000,2,Quarta-feira,6,4,2,0.8500000000000085,0.012547977561263801,796.27,23.889999999999986,32.33068229384681
2000-12-01,67.11,1,12,2000,4,Sexta-feira,6,4,2,-1.480000000000004,-0.021577489429946084,796.27,23.889999999999986,32.33068229384681
2001-01-01,67.46,1,1,2001,0,Segunda-feira,1,1,1,0.3499999999999943,0.005215318134406122,795.89,-0.37999999999999545,-2095.4473684210775
2001-02-01,66.86,1,2,2001,3,Quinta-feira,1,1,1,-0.5999999999999943,-0.008894159501926957,795.89,-0.37999999999999545,-2095.4473684210775
2001-03-01,67.4,1,3,2001,3,Quinta-feira,2,1,1,0.5400000000000063,0.00807657792402039,795.89,-0.37999999999999545,-2095.4473684210775
2001-04-01,66.7,1,4,2001,6,Domingo,2,2,1,-0.7000000000000028,-0.010385756676557945,795.89,-0.37999999999999545,-2095.4473684210775
2001-05-01,65.89,1,5,2001,1,Terça-feira,3,2,1,-0.8100000000000023,-0.012143928035982077,795.89,-0.37999999999999545,-2095.4473684210775
2001-06-01,64.3,1,6,2001,4,Sexta-feira,3,2,1,-1.5900000000000034,-0.024131127636970784,795.89,-0.37999999999999545,-2095.4473684210775
2001-07-01,66.62,1,7,2001,6,Domingo,4,3,2,2.3200000000000074,0.03608087091757395,795.89,-0.37999999999999545,-2095.4473684210775
2001-08-01,66.73,1,8,2001,2,Quarta-feira,4,3,2,0.10999999999999943,0.0016511558090663847,795.89,-0.37999999999999545,-2095.4473684210775
2001-09-01,66.05,1,9,2001,5,Sábado,5,3,2,-0.6800000000000068,-0.010190319196763165,795.89,-0.37999999999999545,-2095.4473684210775
2001-10-01,66.02,1,10,2001,0,Segunda-feira,5,4,2,-0.030000000000001137,-0.0004542013626041008,795.89,-0.37999999999999545,-2095.4473684210775
2001-11-01,65.89,1,11,2001,3,Quinta-feira,6,4,2,-0.12999999999999545,-0.0019691002726446305,795.89,-0.37999999999999545,-2095.4473684210775
2001-12-01,65.97,1,12,2001,5,Sábado,6,4,2,0.0799999999999983,0.0012141447867657362,795.89,-0.37999999999999545,-2095.4473684210775
2002-01-01,65.55,1,1,2002,1,Terça-feira,1,1,1,-0.4200000000000017,-0.006366530241018631,789.24,-6.649999999999977,-119.6827067669177
2002-02-01,65.69,1,2,2002,4,Sexta-feira,1,1,1,0.14000000000000057,0.0021357742181540296,789.24,-6.649999999999977,-119.6827067669177
2002-03-01,65.1,1,3,2002,4,Sexta-feira,2,1,1,-0.5900000000000034,-0.008981580149185597,789.24,-6.649999999999977,-119.6827067669177
2002-04-01,64.24,1,4,2002,0,Segunda-feira,2,2,1,-0.8599999999999994,-0.013210445468510024,789.24,-6.649999999999977,-119.6827067669177
2002-05-01,65.04,1,5,2002,2,Quarta-feira,3,2,1,0.8000000000000114,0.012453300124533273,789.24,-6.649999999999977,-119.6827067669177
2002-06-01,65.08,1,6,2002,5,Sábado,3,2,1,0.03999999999999204,0.0006150061500613813,789.24,-6.649999999999977,-119.6827067669177
2002-07-01,65.97,1,7,2002,0,Segunda-feira,4,3,2,0.8900000000000006,0.013675476336816317,789.24,-6.649999999999977,-119.6827067669177
2002-08-01,65.7,1,8,2002,3,Quinta-feira,4,3,2,-0.269999999999996,-0.004092769440654731,789.24,-6.649999999999977,-119.6827067669177
2002-09-01,65.74,1,9,2002,6,Domingo,5,3,2,0.03999999999999204,0.0006088280060880802,789.24,-6.649999999999977,-119.6827067669177
2002-10-01,67.13,1,10,2002,1,Terça-feira,5,4,2,1.3900000000000006,0.021143900212960087,789.24,-6.649999999999977,-119.6827067669177
2002-11-01,67.34,1,11,2002,4,Sexta-feira,6,4,2,0.21000000000000796,0.0031282586027112647,789.24,-6.649999999999977,-119.6827067669177
2002-12-01,66.66,1,12,2002,6,Domingo,6,4,2,-0.6800000000000068,-0.010098010098010146,789.24,-6.649999999999977,-119.6827067669177
2003-01-01,69.35,1,1,2003,2,Quarta-feira,1,1,1,2.6899999999999977,0.04035403540354032,842.23,52.99000000000001,14.894130968107188
2003-02-01,70.67,1,2,2003,5,Sábado,1,1,1,1.3200000000000074,0.019033886085075835,842.23,52.99000000000001,14.894130968107188
2003-03-01,70.7,1,3,2003,5,Sábado,2,1,1,0.030000000000001137,0.00042450827791151724,842.23,52.99000000000001,14.894130968107188
2003-04-01,69.35,1,4,2003,1,Terça-feira,2,2,1,-1.3500000000000085,-0.019094766619519254,842.23,52.99000000000001,14.894130968107188
2003-05-01,69.17,1,5,2003,3,Quinta-feira,3,2,1,-0.1799999999999926,-0.002595529920692008,842.23,52.99000000000001,14.894130968107188
2003-06-01,68.98,1,6,2003,6,Domingo,3,2,1,-0.18999999999999773,-0.002746855573225404,842.23,52.99000000000001,14.894130968107188
2003-07-01,69.44,1,7,2003,1,Terça-feira,4,3,2,0.45999999999999375,0.006668599594085167,842.23,52.99000000000001,14.894130968107188
2003-08-01,69.89,1,8,2003,4,Sexta-feira,4,3,2,0.45000000000000284,0.006480414746543817,842.23,52.99000000000001,14.894130968107188
2003-09-01,69.85,1,9,2003,0,Segunda-feira,5,3,2,-0.04000000000000625,-0.0005723279439119322,842.23,52.99000000000001,14.894130968107188
2003-10-01,71.14,1,10,2003,2,Quarta-feira,5,4,2,1.2900000000000063,0.01846814602720115,842.23,52.99000000000001,14.894130968107188
2003-11-01,71.55,1,11,2003,5,Sábado,6,4,2,0.4099999999999966,0.0057632836660106435,842.23,52.99000000000001,14.894130968107188
2003-12-01,72.14,1,12,2003,0,Segunda-feira,6,4,2,0.5900000000000034,0.008245981830887539,842.23,52.99000000000001,14.894130968107188
2004-01-01,71.67,1,1,2004,3,Quinta-feira,1,1,1,-0.46999999999999886,-0.0065151095092874645,874.99,32.75999999999999,25.709096459096468
2004-02-01,71.62,1,2,2004,6,Domingo,1,1,1,-0.04999999999999716,-0.0006976419701408831,874.99,32.75999999999999,25.709096459096468
2004-03-01,72.14,1,3,2004,0,Segunda-feira,2,1,1,0.519999999999996,0.007260541748115079,874.99,32.75999999999999,25.709096459096468
2004-04-01,71.74,1,4,2004,3,Quinta-feira,2,2,1,-0.4000000000000057,-0.005544774050457502,874.99,32.75999999999999,25.709096459096468
2004-05-01,72.17,1,5,2004,5,Sábado,3,2,1,0.4300000000000068,0.005993866741009324,874.99,32.75999999999999,25.709096459096468
2004-06-01,73.59,1,6,2004,1,Terça-feira,3,2,1,1.4200000000000017,0.019675765553554214,874.99,32.75999999999999,25.709096459096468
2004-07-01,73.92,1,7,2004,3,Quinta-feira,4,3,2,0.3299999999999983,0.004484304932735439,874.99,32.75999999999999,25.709096459096468
2004-08-01,72.91,1,8,2004,6,Domingo,4,3,2,-1.0100000000000051,-0.013663419913420016,874.99,32.75999999999999,25.709096459096468
2004-09-01,73.34,1,9,2004,2,Quarta-feira,5,3,2,0.4300000000000068,0.005897682073789712,874.99,32.75999999999999,25.709096459096468
2004-10-01,74.05,1,10,2004,4,Sexta-feira,5,4,2,0.7099999999999937,0.009680938096536584,874.99,32.75999999999999,25.709096459096468
2004-11-01,74.1,1,11,2004,0,Segunda-feira,6,4,2,0.04999999999999716,0.0006752194463199857,874.99,32.75999999999999,25.709096459096468
2004-12-01,73.74,1,12,2004,2,Quarta-feira,6,4,2,-0.35999999999999943,-0.004858299595141724,874.99,32.75999999999999,25.709096459096468
2005-01-01,73.2,1,1,2005,5,Sábado,1,1,1,-0.539999999999992,-0.007323026851098313,888.69,13.700000000000045,63.86788321167862
2005-02-01,74.0,1,2,2005,1,Terça-feira,1,1,1,0.7999999999999972,0.010928961748633892,888.69,13.700000000000045,63.86788321167862
2005-03-01,73.96,1,3,2005,1,Terça-feira,2,1,1,-0.04000000000000625,-0.000540540540540646,888.69,13.700000000000045,63.86788321167862
2005-04-01,74.51,1,4,2005,4,Sexta-feira,2,2,1,0.5500000000000114,0.007436452136289962,888.69,13.700000000000045,63.86788321167862
2005-05-01,74.75,1,5,2005,6,Domingo,3,2,1,0.23999999999999488,0.0032210441551467905,888.69,13.700000000000045,63.86788321167862
2005-06-01,74.14,1,6,2005,2,Quarta-feira,3,2,1,-0.6099999999999994,-0.008160535117056833,888.69,13.700000000000045,63.86788321167862
2005-07-01,74.22,1,7,2005,4,Sexta-feira,4,3,2,0.0799999999999983,0.0010790396547073478,888.69,13.700000000000045,63.86788321167862
2005-08-01,74.31,1,8,2005,0,Segunda-feira,4,3,2,0.09000000000000341,0.0012126111560226693,888.69,13.700000000000045,63.86788321167862
2005-09-01,73.03,1,9,2005,3,Quinta-feira,5,3,2,-1.2800000000000011,-0.017225137935674928,888.69,13.700000000000045,63.86788321167862
2005-10-01,73.69,1,10,2005,5,Sábado,5,4,2,0.6599999999999966,0.009037381897850194,888.69,13.700000000000045,63.86788321167862
2005-11-01,74.38,1,11,2005,1,Terça-feira,6,4,2,0.6899999999999977,0.009363550006785237,888.69,13.700000000000045,63.86788321167862
2005-12-01,74.5,1,12,2005,3,Quinta-feira,6,4,2,0.12000000000000455,0.0016133369185264979,888.69,13.700000000000045,63.86788321167862
2006-01-01,74.15,1,1,2006,6,Domingo,1,1,1,-0.3499999999999943,-0.0046979865771811236,890.53,1.8399999999999181,482.9836956521954
2006-02-01,74.62,1,2,2006,2,Quarta-feira,1,1,1,0.46999999999999886,0.006338503034389653,890.53,1.8399999999999181,482.9836956521954
2006-03-01,74.74,1,3,2006,2,Quarta-feira,2,1,1,0.11999999999999034,0.0016081479496112827,890.53,1.8399999999999181,482.9836956521954
2006-04-01,74.01,1,4,2006,5,Sábado,2,2,1,-0.7299999999999898,-0.00976719293550965,890.53,1.8399999999999181,482.9836956521954
2006-05-01,73.68,1,5,2006,0,Segunda-feira,3,2,1,-0.3299999999999983,-0.0044588569112281595,890.53,1.8399999999999181,482.9836956521954
2006-06-01,74.09,1,6,2006,3,Quinta-feira,3,2,1,0.4099999999999966,0.005564603691639469,890.53,1.8399999999999181,482.9836956521954
2006-07-01,75.09,1,7,2006,5,Sábado,4,3,2,1.0,0.013497098123903317,890.53,1.8399999999999181,482.9836956521954
2006-08-01,74.12,1,8,2006,1,Terça-feira,4,3,2,-0.9699999999999989,-0.012917831935011281,890.53,1.8399999999999181,482.9836956521954
2006-09-01,74.05,1,9,2006,4,Sexta-feira,5,3,2,-0.07000000000000739,-0.0009444144630330609,890.53,1.8399999999999181,482.9836956521954
2006-10-01,74.22,1,10,2006,6,Domingo,5,4,2,0.1700000000000017,0.0022957461174881733,890.53,1.8399999999999181,482.9836956521954
2006-11-01,74.09,1,11,2006,2,Quarta-feira,6,4,2,-0.12999999999999545,-0.0017515494475881521,890.53,1.8399999999999181,482.9836956521954
2006-12-01,73.67,1,12,2006,4,Sexta-feira,6,4,2,-0.4200000000000017,-0.005668781212039398,890.53,1.8399999999999181,482.9836956521954
2007-01-01,73.97,1,1,2007,0,Segunda-feira,1,1,1,0.29999999999999716,0.004072213926971546,890.7,0.17000000000007276,5238.41176470364
2007-02-01,74.43,1,2,2007,3,Quinta-feira,1,1,1,0.46000000000000796,0.0062187373259430245,890.7,0.17000000000007276,5238.41176470364
2007-03-01,74.23,1,3,2007,3,Quinta-feira,2,1,1,-0.20000000000000284,-0.0026870885395674504,890.7,0.17000000000007276,5238.41176470364
2007-04-01,74.26,1,4,2007,6,Domingo,2,2,1,0.030000000000001137,0.00040414926579557253,890.7,0.17000000000007276,5238.41176470364
2007-05-01,73.87,1,5,2007,1,Terça-feira,3,2,1,-0.39000000000000057,-0.005251817936978154,890.7,0.17000000000007276,5238.41176470364
2007-06-01,73.63,1,6,2007,4,Sexta-feira,3,2,1,-0.2400000000000091,-0.0032489508596184047,890.7,0.17000000000007276,5238.41176470364
2007-07-01,74.42,1,7,2007,6,Domingo,4,3,2,0.7900000000000063,0.01072932228711121,890.7,0.17000000000007276,5238.41176470364
2007-08-01,73.49,1,8,2007,2,Quarta-feira,4,3,2,-0.9300000000000068,-0.01249664068798717,890.7,0.17000000000007276,5238.41176470364
2007-09-01,73.86,1,9,2007,5,Sábado,5,3,2,0.37000000000000455,0.00503469859844885,890.7,0.17000000000007276,5238.41176470364
2007-10-01,75.07,1,10,2007,0,Segunda-feira,5,4,2,1.2099999999999937,0.01638234497698332,890.7,0.17000000000007276,5238.41176470364
2007-11-01,74.53,1,11,2007,3,Quinta-feira,6,4,2,-0.539999999999992,-0.007193286266151455,890.7,0.17000000000007276,5238.41176470364
2007-12-01,74.94,1,12,2007,5,Sábado,6,4,2,0.4099999999999966,0.005501140480343336,890.7,0.17000000000007276,5238.41176470364
2008-01-01,74.73,1,1,2008,1,Terça-feira,1,1,1,-0.20999999999999375,-0.00280224179343469,894.5799999999999,3.8799999999998818,229.5618556701101
2008-02-01,74.82,1,2,2008,4,Sexta-feira,1,1,1,0.0899999999999892,0.001204335608189444,894.5799999999999,3.8799999999998818,229.5618556701101
2008-03-01,75.05,1,3,2008,5,Sábado,2,1,1,0.23000000000000398,0.003074044373162277,894.5799999999999,3.8799999999998818,229.5618556701101
2008-04-01,74.49,1,4,2008,1,Terça-feira,2,2,1,-0.5600000000000023,-0.007461692205196546,894.5799999999999,3.8799999999998818,229.5618556701101
2008-05-01,74.79,1,5,2008,3,Quinta-feira,3,2,1,0.30000000000001137,0.004027386226339358,894.5799999999999,3.8799999999998818,229.5618556701101
2008-06-01,74.81,1,6,2008,6,Domingo,3,2,1,0.01999999999999602,0.0002674154298702991,894.5799999999999,3.8799999999998818,229.5618556701101
2008-07-01,75.57,1,7,2008,1,Terça-feira,4,3,2,0.7599999999999909,0.010159069643095764,894.5799999999999,3.8799999999998818,229.5618556701101
2008-08-01,74.48,1,8,2008,4,Sexta-feira,4,3,2,-1.0899999999999892,-0.0144237131136693,894.5799999999999,3.8799999999998818,229.5618556701101
2008-09-01,73.49,1,9,2008,0,Segunda-feira,5,3,2,-0.9900000000000091,-0.013292158968850831,894.5799999999999,3.8799999999998818,229.5618556701101
2008-10-01,74.48,1,10,2008,2,Quarta-feira,5,4,2,0.9900000000000091,0.013471220574228004,894.5799999999999,3.8799999999998818,229.5618556701101
2008-11-01,74.32,1,11,2008,5,Sábado,6,4,2,-0.1600000000000108,-0.002148227712137629,894.5799999999999,3.8799999999998818,229.5618556701101
2008-12-01,73.55,1,12,2008,0,Segunda-feira,6,4,2,-0.769999999999996,-0.010360602798708207,894.5799999999999,3.8799999999998818,229.5618556701101
2009-01-01,72.49,1,1,2009,3,Quinta-feira,1,1,1,-1.0600000000000023,-0.014411964649898024,878.89,-15.68999999999994,-57.01593371574272
2009-02-01,72.88,1,2,2009,6,Domingo,1,1,1,0.39000000000000057,0.005380052421023684,878.89,-15.68999999999994,-57.01593371574272
2009-03-01,72.71,1,3,2009,6,Domingo,2,1,1,-0.1700000000000017,-0.002332601536772838,878.89,-15.68999999999994,-57.01593371574272
2009-04-01,72.99,1,4,2009,2,Quarta-feira,2,2,1,0.28000000000000114,0.0038509145922156485,878.89,-15.68999999999994,-57.01593371574272
2009-05-01,72.6,1,5,2009,4,Sexta-feira,3,2,1,-0.39000000000000057,-0.005343197698314817,878.89,-15.68999999999994,-57.01593371574272
2009-06-01,72.73,1,6,2009,0,Segunda-feira,3,2,1,0.13000000000000966,0.001790633608815595,878.89,-15.68999999999994,-57.01593371574272
2009-07-01,73.69,1,7,2009,2,Quarta-feira,4,3,2,0.9599999999999937,0.013199505018561819,878.89,-15.68999999999994,-57.01593371574272
2009-08-01,73.15,1,8,2009,5,Sábado,4,3,2,-0.539999999999992,-0.007327995657483988,878.89,-15.68999999999994,-57.01593371574272
2009-09-01,73.58,1,9,2009,1,Terça-feira,5,3,2,0.4299999999999926,0.005878332194121594,878.89,-15.68999999999994,-57.01593371574272
2009-10-01,74.04,1,10,2009,3,Quinta-feira,5,4,2,0.46000000000000796,0.006251698831204244,878.89,-15.68999999999994,-57.01593371574272
2009-11-01,74.17,1,11,2009,6,Domingo,6,4,2,0.12999999999999545,0.0017558076715289417,878.89,-15.68999999999994,-57.01593371574272
2009-12-01,73.86,1,12,2009,1,Terça-feira,6,4,2,-0.3100000000000023,-0.0041795874342726025,878.89,-15.68999999999994,-57.01593371574272
2010-01-01,74.05,1,1,2010,4,Sexta-feira,1,1,1,0.18999999999999773,0.0025724343352286905,893.39,14.5,60.61310344827586
2010-02-01,74.36,1,2,2010,0,Segunda-feira,1,1,1,0.3100000000000023,0.004186360567184355,893.39,14.5,60.61310344827586
2010-03-01,74.61,1,3,2010,0,Segunda-feira,2,1,1,0.25,0.0033620225927917247,893.39,14.5,60.61310344827586
2010-04-01,74.36,1,4,2010,3,Quinta-feira,2,2,1,-0.25,-0.003350757271143312,893.39,14.5,60.61310344827586
2010-05-01,74.34,1,5,2010,5,Sábado,3,2,1,-0.01999999999999602,-0.0002689618074233069,893.39,14.5,60.61310344827586
2010-06-01,73.97,1,6,2010,1,Terça-feira,3,2,1,-0.37000000000000455,-0.0049771320957762155,893.39,14.5,60.61310344827586
2010-07-01,74.22,1,7,2010,3,Quinta-feira,4,3,2,0.25,0.0033797485467081945,893.39,14.5,60.61310344827586
2010-08-01,74.1,1,8,2010,6,Domingo,4,3,2,-0.12000000000000455,-0.0016168148746968924,893.39,14.5,60.61310344827586
2010-09-01,74.41,1,9,2010,2,Quarta-feira,5,3,2,0.3100000000000023,0.004183535762483093,893.39,14.5,60.61310344827586
2010-10-01,74.74,1,10,2010,4,Sexta-feira,5,4,2,0.3299999999999983,0.004434887783899999,893.39,14.5,60.61310344827586
2010-11-01,75.07,1,11,2010,0,Segunda-feira,6,4,2,0.3299999999999983,0.004415306395504359,893.39,14.5,60.61310344827586
2010-12-01,75.16,1,12,2010,2,Quarta-feira,6,4,2,0.09000000000000341,0.0011988810443586129,893.39,14.5,60.61310344827586
2011-01-01,75.93,1,1,2011,5,Sábado,1,1,1,0.7700000000000102,0.010244811069717974,901.1800000000001,7.790000000000077,114.68421052631464
2011-02-01,75.49,1,2,2011,1,Terça-feira,1,1,1,-0.44000000000001194,-0.005794811010141121,901.1800000000001,7.790000000000077,114.68421052631464
2011-03-01,74.44,1,3,2011,1,Terça-feira,2,1,1,-1.0499999999999972,-0.013909127036693558,901.1800000000001,7.790000000000077,114.68421052631464
2011-04-01,74.29,1,4,2011,4,Sexta-feira,2,2,1,-0.14999999999999147,-0.0020150456743684986,901.1800000000001,7.790000000000077,114.68421052631464
2011-05-01,73.66,1,5,2011,6,Domingo,3,2,1,-0.6300000000000097,-0.008480279983847261,901.1800000000001,7.790000000000077,114.68421052631464
2011-06-01,74.45,1,6,2011,2,Quarta-feira,3,2,1,0.7900000000000063,0.010724952484387762,901.1800000000001,7.790000000000077,114.68421052631464
2011-07-01,74.84,1,7,2011,4,Sexta-feira,4,3,2,0.39000000000000057,0.0052384150436535215,901.1800000000001,7.790000000000077,114.68421052631464
2011-08-01,75.3,1,8,2011,0,Segunda-feira,4,3,2,0.45999999999999375,0.006146445750935259,901.1800000000001,7.790000000000077,114.68421052631464
2011-09-01,74.68,1,9,2011,3,Quinta-feira,5,3,2,-0.6199999999999903,-0.008233731739707761,901.1800000000001,7.790000000000077,114.68421052631464
2011-10-01,75.26,1,10,2011,5,Sábado,5,4,2,0.5799999999999983,0.00776647027316546,901.1800000000001,7.790000000000077,114.68421052631464
2011-11-01,76.24,1,11,2011,1,Terça-feira,6,4,2,0.9799999999999898,0.013021525378687171,901.1800000000001,7.790000000000077,114.68421052631464
2011-12-01,76.6,1,12,2011,3,Quinta-feira,6,4,2,0.35999999999999943,0.004721930745015701,901.1800000000001,7.790000000000077,114.68421052631464
2012-01-01,76.77,1,1,2012,6,Domingo,1,1,1,0.1700000000000017,0.0022193211488250597,920.3399999999999,19.159999999999854,47.034446764092216
2012-02-01,76.99,1,2,2012,2,Quarta-feira,1,1,1,0.21999999999999886,0.002865702748469534,920.3399999999999,19.159999999999854,47.034446764092216
2012-03-01,76.88,1,3,2012,3,Quinta-feira,2,1,1,-0.10999999999999943,-0.0014287569814261936,920.3399999999999,19.159999999999854,47.034446764092216
2012-04-01,77.2,1,4,2012,6,Domingo,2,2,1,0.3200000000000074,0.0041623309053071544,920.3399999999999,19.159999999999854,47.034446764092216
2012-05-01,76.5,1,5,2012,1,Terça-feira,3,2,1,-0.7000000000000028,-0.0090673575129534,920.3399999999999,19.159999999999854,47.034446764092216
2012-06-01,76.3,1,6,2012,4,Sexta-feira,3,2,1,-0.20000000000000284,-0.002614379084967311,920.3399999999999,19.159999999999854,47.034446764092216
2012-07-01,76.55,1,7,2012,6,Domingo,4,3,2,0.25,0.00327653997378774,920.3399999999999,19.159999999999854,47.034446764092216
